METHOD,TIME
Shading mask PCG RNG,9.67552
Shading mask XOSHIRO RNG,9.41103
Shading mask MIX RNG,9.60734
Shading mask EIGEN RNG,9.46305
Shading mask EIGEN CAST RNG,9.52539
Shading mask EIGEN VECTORIZED RNG,9.69259
Shading mask STD RNG,9.44387
Shading mask PCG RNG,9.40353
Shading mask XOSHIRO RNG,9.38347
Shading mask MIX RNG,9.42065
Shading mask EIGEN RNG,9.81097
Shading mask EIGEN CAST RNG,9.43634
Shading mask EIGEN VECTORIZED RNG,9.46091
Shading mask STD RNG,9.40552
Shading mask PCG RNG,9.36079
Shading mask XOSHIRO RNG,9.43106
Shading mask MIX RNG,9.56736
Shading mask EIGEN RNG,9.51935
Shading mask EIGEN CAST RNG,9.5694
Shading mask EIGEN VECTORIZED RNG,9.19643
Shading mask STD RNG,9.50719
Shading mask PCG RNG,9.69079
Shading mask XOSHIRO RNG,9.85629
Shading mask MIX RNG,9.83229
Shading mask EIGEN RNG,9.68901
Shading mask EIGEN CAST RNG,9.59702
Shading mask EIGEN VECTORIZED RNG,9.5487
Shading mask STD RNG,9.40082
Shading mask PCG RNG,9.10647
Shading mask XOSHIRO RNG,9.38751
Shading mask MIX RNG,9.59668
Shading mask EIGEN RNG,9.55608
Shading mask EIGEN CAST RNG,10.3464
Shading mask EIGEN VECTORIZED RNG,9.91557
Shading mask STD RNG,9.40948
Shading mask PCG RNG,9.30231
Shading mask XOSHIRO RNG,9.82774
Shading mask MIX RNG,9.53592
Shading mask EIGEN RNG,9.35434
Shading mask EIGEN CAST RNG,9.16662
Shading mask EIGEN VECTORIZED RNG,9.3985
Shading mask STD RNG,9.5611
Shading mask PCG RNG,9.65374
Shading mask XOSHIRO RNG,9.53313
Shading mask MIX RNG,9.7738
Shading mask EIGEN RNG,9.69373
Shading mask EIGEN CAST RNG,9.47474
Shading mask EIGEN VECTORIZED RNG,9.67707
Shading mask STD RNG,9.46818
Shading mask PCG RNG,9.21189
Shading mask XOSHIRO RNG,9.23599
Shading mask MIX RNG,9.42646
Shading mask EIGEN RNG,9.4082
Shading mask EIGEN CAST RNG,9.37784
Shading mask EIGEN VECTORIZED RNG,9.41437
Shading mask STD RNG,9.6588
Shading mask PCG RNG,9.42103
