Flag,Method,Duration
-O2 -march=native -fdisable-tree-cunrolli,EigenRand_CAST,19.708
-O3 -march=native -fdisable-tree-cunrolli,EigenRand_CAST,14.097
-Ofast -march=native -fdisable-tree-cunrolli,EigenRand_CAST,13.433
-O1,EigenRand,60.079
-O2,EigenRand,48.876
-O3,EigenRand,49.136
-Ofast,EigenRand,49.187
-O1 -march=native,EigenRand,54.947
-O2 -march=native,EigenRand,43.888
-O3 -march=native,EigenRand,44.566
-Ofast -march=native,EigenRand,44.84
-O1 -march=native -funroll-loops,EigenRand,53.14
-O2 -march=native -funroll-loops,EigenRand,44.333
-O3 -march=native -funroll-loops,EigenRand,43.673
-Ofast -march=native -funroll-loops,EigenRand,44.226
-O1 -march=native -fdisable-tree-cunrolli,EigenRand,54.705
-O2 -march=native -fdisable-tree-cunrolli,EigenRand,43.533
-O3 -march=native -fdisable-tree-cunrolli,EigenRand,45.035
-Ofast -march=native -fdisable-tree-cunrolli,EigenRand,44.75
-O1,EigenRand_VMT,55.853
-O2,EigenRand_VMT,46.633
-O3,EigenRand_VMT,47.188
-Ofast,EigenRand_VMT,47.1
-O1 -march=native,EigenRand_VMT,50.366
-O2 -march=native,EigenRand_VMT,41.689
-O3 -march=native,EigenRand_VMT,41.329
-Ofast -march=native,EigenRand_VMT,41.285
-O1 -march=native -funroll-loops,EigenRand_VMT,50.557
-O2 -march=native -funroll-loops,EigenRand_VMT,42.204
-O3 -march=native -funroll-loops,EigenRand_VMT,42.777
-Ofast -march=native -funroll-loops,EigenRand_VMT,42.077
-O1 -march=native -fdisable-tree-cunrolli,EigenRand_VMT,49.71
-O2 -march=native -fdisable-tree-cunrolli,EigenRand_VMT,41.494
-O3 -march=native -fdisable-tree-cunrolli,EigenRand_VMT,42.665
-Ofast -march=native -fdisable-tree-cunrolli,EigenRand_VMT,41.194
-O1,MersenneTwister,45.202
-O2,MersenneTwister,79.715
-O3,MersenneTwister,71.581
-Ofast,MersenneTwister,70.774
-O1 -march=native,MersenneTwister,45.472
-O2 -march=native,MersenneTwister,79.985
-O3 -march=native,MersenneTwister,22.13
-Ofast -march=native,MersenneTwister,22.227
-O1 -march=native -funroll-loops,MersenneTwister,43.471
-O2 -march=native -funroll-loops,MersenneTwister,78.266
-O3 -march=native -funroll-loops,MersenneTwister,22.277
-Ofast -march=native -funroll-loops,MersenneTwister,22.379
-O1 -march=native -fdisable-tree-cunrolli,MersenneTwister,45.537
-O2 -march=native -fdisable-tree-cunrolli,MersenneTwister,79.762
-O3 -march=native -fdisable-tree-cunrolli,MersenneTwister,22.215
-Ofast -march=native -fdisable-tree-cunrolli,MersenneTwister,23.559
-O1,pcg-cpp,16.068
-O2,pcg-cpp,13.087
-O3,pcg-cpp,15.154
-Ofast,pcg-cpp,15.104
-O1 -march=native,pcg-cpp,14.093
-O2 -march=native,pcg-cpp,12.156
-O3 -march=native,pcg-cpp,12.085
-Ofast -march=native,pcg-cpp,12.253
-O1 -march=native -funroll-loops,pcg-cpp,14.129
-O2 -march=native -funroll-loops,pcg-cpp,14.707
-O3 -march=native -funroll-loops,pcg-cpp,12.085
-Ofast -march=native -funroll-loops,pcg-cpp,12.097
-O1 -march=native -fdisable-tree-cunrolli,pcg-cpp,19.322
-O2 -march=native -fdisable-tree-cunrolli,pcg-cpp,12.204
-O3 -march=native -fdisable-tree-cunrolli,pcg-cpp,12.167
-Ofast -march=native -fdisable-tree-cunrolli,pcg-cpp,12.11
-O1,std::uniform_distribution,45.516
-O2,std::uniform_distribution,79.896
-O3,std::uniform_distribution,71.473
-Ofast,std::uniform_distribution,70.954
-O1 -march=native,std::uniform_distribution,45.506
-O2 -march=native,std::uniform_distribution,80.099
-O3 -march=native,std::uniform_distribution,22.252
-Ofast -march=native,std::uniform_distribution,22.161
-O1 -march=native -funroll-loops,std::uniform_distribution,43.566
-O2 -march=native -funroll-loops,std::uniform_distribution,78.535
-O3 -march=native -funroll-loops,std::uniform_distribution,22.256
-Ofast -march=native -funroll-loops,std::uniform_distribution,22.128
-O1 -march=native -fdisable-tree-cunrolli,std::uniform_distribution,45.504
-O2 -march=native -fdisable-tree-cunrolli,std::uniform_distribution,79.539
-O3 -march=native -fdisable-tree-cunrolli,std::uniform_distribution,22.106
-Ofast -march=native -fdisable-tree-cunrolli,std::uniform_distribution,22.118
-O1,xoshiro-cpp,43.155
-O2,xoshiro-cpp,14.978
-O3,xoshiro-cpp,15.083
-Ofast,xoshiro-cpp,15.081
-O1 -march=native,xoshiro-cpp,41.547
-O2 -march=native,xoshiro-cpp,14.159
-O3 -march=native,xoshiro-cpp,14.812
-Ofast -march=native,xoshiro-cpp,15.204
-O1 -march=native -funroll-loops,xoshiro-cpp,39.236
-O2 -march=native -funroll-loops,xoshiro-cpp,15.037
-O3 -march=native -funroll-loops,xoshiro-cpp,14.947
-Ofast -march=native -funroll-loops,xoshiro-cpp,15.079
-O1 -march=native -fdisable-tree-cunrolli,xoshiro-cpp,41.513
-O2 -march=native -fdisable-tree-cunrolli,xoshiro-cpp,15.327
-O3 -march=native -fdisable-tree-cunrolli,xoshiro-cpp,15.183
-Ofast -march=native -fdisable-tree-cunrolli,xoshiro-cpp,15.027
